Bid No,Custom Item,Matched Category,Category Bid No,Why It Could Belong,Score
GEM/2026/B/7798757,"SAFETY CARTRIDGE , NARROW V-BELT , FILTER INSERT","SAFETY CARTRIDGE,NARROW V-BELT,FILTER INSERT",GEM/2026/B/7863093,"Significant keyword overlap on procurement terms: belt, cartridge, filter, insert, narrow. The item likely falls within the scope of this standard category.",100%
GEM/2026/B/7824822,"Capillary electrophoresis device, Specifications as per Annexure A","Capillary electrophoresis device, Specifications as per Annexure A",GEM/2026/B/7824822,"Names are nearly identical — both describe the same item (annexure, capillary, device, electrophoresis, per). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7868644,DIGITAL CHARGING BOARD FOR 3 CIRCUIT,DIGITAL CHARGING BOARD FOR 3 CIRCUIT,GEM/2026/B/7868644,"Names are nearly identical — both describe the same item (board, charging, circuit, digital). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7869001,Screw extruder unit with tube die assembly,Screw extruder unit with tube die assembly,GEM/2026/B/7869001,"Names are nearly identical — both describe the same item (assembly, die, extruder, screw, tube). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7631632,GREASE,GREASE,GEM/2026/B/7631632,Names are nearly identical — both describe the same item (grease). Could have been placed under this standard category.,100.0 / 100
GEM/2026/B/7867331,ACMECOAT 110 RF_ 5000001308,ACMECOAT 110 RF_ 5000001308,GEM/2026/B/7867331,"Names are nearly identical — both describe the same item (110, 5000001308, acmecoat). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7869543,AIR CONDITIONING 22TR,AIR CONDITIONING 22TR,GEM/2026/B/7869543,"Names are nearly identical — both describe the same item (22tr, air, conditioning). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7837470,LAUNDERCOTE_ 1000075438,LAUNDERCOTE_ 1000075438,GEM/2026/B/7837470,"Names are nearly identical — both describe the same item (1000075438, laundercote). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7892985,3 Core× 50 sq. mm+ 1 Core× 16 sq. mm Aerial Bunched Cable,3 Core× 50 sq. mm+ 1 Core× 16 sq. mm Aerial Bunched Cable,GEM/2026/B/7823954,"Names are nearly identical — both describe the same item (aerial, bunched, cable, core). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7881785,Commando Endurance Training Module with modular storage unit,Commando Endurance Training Module with modular storage unit,GEM/2026/B/7881785,"Names are nearly identical — both describe the same item (commando, endurance, modular, module, storage). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7907670,HP W1520A CARTRIDGE FOR HPLT 4004dn,HP W1520A CARTRIDGE FOR HPLT 4004dn.,GEM/2026/B/7907670,"Names are nearly identical — both describe the same item (4004dn, cartridge, hplt, w1520a). Could have been placed under this standard category.",98.6 / 100
GEM/2026/B/7907903,DRIP IRRIGATION KIT,DRIP IRRIGATION KIT,GEM/2026/B/7907903,"Names are nearly identical — both describe the same item (drip, irrigation, kit). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7907902,Ultra Sonic Activator,Ultra Sonic Activator,GEM/2026/B/7907902,"Names are nearly identical — both describe the same item (activator, sonic, ultra). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7907805,DIGIMATIC HEIGHT GAUGE,DIGIMATIC HEIGHT GAUGE,GEM/2026/B/7907805,"Names are nearly identical — both describe the same item (digimatic, gauge, height). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7907752,REPAIR OF MILLING MACHINE VERTICAL,REPAIR OF MILLING MACHINE VERTICAL,GEM/2026/B/7907752,"Names are nearly identical — both describe the same item (machine, milling, repair, vertical). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7900389,Repair of Quadcopter,Repair of Quadcopter,GEM/2026/B/7900389,"Names are nearly identical — both describe the same item (quadcopter, repair). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7908053,OBTURATION SYSTEM,OBTURATION SYSTEM,GEM/2026/B/7908053,"Names are nearly identical — both describe the same item (obturation, system). Could have been placed under this standard category.",100.0 / 100
